,matchID,fullTimeMS,timeStamp,blueChampionKill,blueFirstBlood,blueDragonKill,blueDragonHextechKill,blueDragonChemtechKill,blueDragonFireKill,blueDragonAirKill,blueDragonEarthKill,blueDragonWaterKill,blueDragonElderKill,blueVoidGrubKill,blueRiftHeraldKill,blueBaronKill,blueTowerKill,blueInhibitorKill,blueTotalGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgPlayerLevel,blueWin,redChampionKill,redFirstBlood,redDragonKill,redDragonHextechKill,redDragonChemtechKill,redDragonFireKill,redDragonAirKill,redDragonEarthKill,redDragonWaterKill,redDragonElderKill,redVoidGrubKill,redRiftHeraldKill,redBaronKill,redTowerKill,redInhibitorKill,redTotalGold,redMinionsKilled,redJungleMinionsKilled,redAvgPlayerLevel,redWin
501000,KR_7326182461,2031670,1625336,25,True,1,0,0,1,0,0,0,0,6,1,0,2,0,53238,693,203,69,True,22,False,3,1,2,0,0,0,0,0,0,0,0,4,0,54290,735,192,71,False
501001,KR_7326143788,1848087,1478469,20,False,0,0,0,0,0,0,0,0,4,1,0,3,0,46629,612,135,64,False,20,True,4,1,2,0,0,1,0,0,2,0,1,3,0,48219,630,180,68,True
501002,KR_7326118030,2028395,1622716,20,True,3,0,1,1,0,1,0,0,3,1,0,2,0,51218,682,161,69,False,17,False,1,0,0,0,0,1,0,0,3,0,1,4,0,54851,721,201,73,True
501003,KR_7326011394,1752984,1402387,17,False,2,0,0,0,1,0,1,0,0,0,1,3,0,46141,622,162,67,True,22,True,1,0,0,0,0,1,0,0,6,1,0,1,0,42873,539,139,60,False
501004,KR_7325994163,1756498,1405198,18,True,0,0,0,0,0,0,0,0,3,1,0,2,0,44115,560,123,61,False,27,False,2,1,1,0,0,0,0,0,0,0,0,4,0,47422,551,145,63,True
501005,KR_7325970383,1647115,1317692,26,False,1,0,0,0,0,0,1,0,6,1,0,5,0,46006,516,151,61,False,13,True,2,0,0,0,1,1,0,0,0,0,0,2,0,39333,594,106,58,True
501006,KR_7325963207,1012862,810289,5,False,0,0,0,0,0,0,0,0,3,0,0,0,0,22920,354,101,44,False,9,True,1,0,1,0,0,0,0,0,3,0,0,1,0,25668,363,102,46,True
501007,KR_7325947557,917201,733760,14,True,1,0,0,0,0,1,0,0,6,0,0,1,0,27452,330,88,43,True,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,18496,259,68,40,False
501008,KR_7325946011,913280,730624,15,True,0,0,0,0,0,0,0,0,3,0,0,0,0,25462,304,92,43,True,5,False,1,0,0,1,0,0,0,0,0,0,0,0,0,20965,319,83,42,False
501009,KR_7325929408,1025392,820313,12,True,1,0,0,0,1,0,0,0,3,0,0,2,0,27872,362,66,45,True,8,False,0,0,0,0,0,0,0,0,3,0,0,0,0,23831,322,112,45,False
501010,KR_7325913817,1448165,1158532,7,False,0,0,0,0,0,0,0,0,5,1,0,0,0,32305,463,111,53,False,17,True,2,1,0,0,0,1,0,0,1,0,0,5,0,42890,532,119,57,True
501011,KR_7325901985,919662,735729,6,True,0,0,0,0,0,0,0,0,3,0,0,0,0,21718,321,79,42,False,11,False,1,0,0,1,0,0,0,0,1,0,0,0,0,24218,287,96,44,True
501012,KR_7325900445,2065011,1652008,25,True,1,0,0,0,0,1,0,0,2,0,1,2,0,56801,638,172,71,True,35,False,3,0,1,1,0,1,0,0,4,1,0,6,1,57267,586,167,67,False
501013,KR_7325891872,1164892,931913,16,True,1,0,0,0,1,0,0,0,2,1,0,1,0,31133,390,92,47,True,10,False,0,0,0,0,0,0,0,0,4,0,0,0,0,26332,329,56,45,False
501014,KR_7325896080,1673212,1338569,14,True,1,0,0,0,0,0,1,0,4,0,0,2,0,40607,592,126,60,True,25,False,1,0,0,1,0,0,0,0,2,1,1,3,0,46591,534,139,64,False
501015,KR_7325157434,1490881,1192704,16,True,0,0,0,0,0,0,0,0,5,0,0,1,0,35415,422,139,54,False,13,False,2,0,0,0,1,1,0,0,1,1,0,2,0,33802,455,100,53,True
501016,KR_7325101519,1446356,1157084,10,False,1,0,0,1,0,0,0,0,3,0,0,1,0,35148,478,118,55,False,21,True,2,1,0,0,0,0,1,0,0,1,0,4,0,43315,501,131,57,True
501017,KR_7325062732,996537,797229,10,True,0,0,0,0,0,0,0,0,2,0,0,0,0,24176,329,84,44,False,13,False,1,0,0,1,0,0,0,0,1,0,0,2,0,29416,334,86,45,True
501018,KR_7325007715,1382183,1105746,15,True,1,0,0,0,1,0,0,0,4,1,0,5,0,38622,493,154,56,True,8,False,1,0,0,1,0,0,0,0,2,0,0,2,0,31339,471,99,52,False
501019,KR_7324939883,1616947,1293557,11,True,0,0,0,0,0,0,0,0,6,1,0,6,0,41856,541,142,57,False,13,False,3,0,1,0,1,1,0,0,0,0,1,3,0,41472,586,156,62,True
501020,KR_7324900012,1452711,1162168,12,False,1,0,0,1,0,0,0,0,0,0,0,3,0,36516,424,99,52,False,25,True,1,1,0,0,0,0,0,0,6,1,0,5,0,43033,451,123,54,True
501021,KR_7324837585,1342842,1074273,18,False,1,1,0,0,0,0,0,0,6,0,0,6,0,39904,476,138,55,True,4,True,1,0,0,0,0,1,0,0,0,1,0,3,0,31265,486,95,52,False
501022,KR_7324797299,1138461,910768,16,False,0,0,0,0,0,0,0,0,6,0,0,1,0,33661,452,110,51,True,9,True,0,0,0,0,0,0,0,0,0,0,0,0,0,27685,414,92,48,False
501023,KR_7324581575,911542,729233,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,21073,321,72,41,False,16,True,1,0,0,0,0,1,0,0,6,0,0,0,0,26717,307,73,44,True
501024,KR_7324542554,1697125,1357700,26,False,0,0,0,0,0,0,0,0,6,1,0,4,0,48032,512,159,61,True,30,True,2,0,1,0,0,1,0,0,0,0,0,3,0,48413,537,120,63,False
501025,KR_7324501817,1668807,1335045,28,True,1,1,0,0,0,0,0,0,5,1,0,7,0,51775,485,181,66,True,13,False,1,0,0,0,1,0,0,0,1,0,0,3,0,41241,557,97,58,False
501026,KR_7324477082,1583306,1266644,22,True,1,0,0,1,0,0,0,0,3,0,1,4,0,46551,536,129,65,True,15,False,2,0,0,0,0,1,1,0,3,1,0,4,0,41633,561,125,57,False
501027,KR_7324450502,1187330,949864,15,True,2,0,0,1,1,0,0,0,1,1,0,1,0,30572,401,93,50,True,8,False,0,0,0,0,0,0,0,0,4,0,0,1,0,28092,406,99,47,False
501028,KR_7324418674,1842901,1474320,19,True,0,0,0,0,0,0,0,0,5,0,0,2,0,47207,611,144,65,False,22,False,4,0,1,1,2,0,0,0,1,1,1,7,1,53491,616,175,68,True
501029,KR_7324403265,2046216,1636972,17,True,1,0,0,0,1,0,0,0,1,0,0,5,0,53042,757,149,69,False,21,False,3,0,0,1,0,2,0,0,5,1,1,4,0,53993,691,174,70,True
501030,KR_7324378574,1769302,1415441,21,False,0,0,0,0,0,0,0,0,6,1,0,5,0,46823,503,150,59,False,17,True,3,0,0,1,0,1,1,0,0,0,1,2,0,46547,562,148,63,True
501031,KR_7323133238,1254735,1003788,21,True,1,0,0,0,1,0,0,0,6,0,0,3,0,36202,461,103,51,True,15,False,0,0,0,0,0,0,0,0,0,0,0,0,0,30987,420,78,48,False
501032,KR_7323093370,954710,763768,8,False,1,0,1,0,0,0,0,0,6,0,0,0,0,22386,306,100,41,True,9,True,0,0,0,0,0,0,0,0,0,0,0,0,0,22757,338,66,41,False
501033,KR_7323036941,1415713,1132570,21,True,0,0,0,0,0,0,0,0,0,0,0,0,0,36631,382,97,52,False,39,False,2,0,0,0,1,0,1,0,6,1,0,7,1,48358,458,95,57,True
501034,KR_7323005003,1133942,907153,8,False,0,0,0,0,0,0,0,0,4,0,0,0,0,25973,359,90,45,False,20,True,0,0,0,0,0,0,0,0,1,0,0,1,0,33893,375,103,48,True
501035,KR_7322980525,444660,355728,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,7806,73,40,21,False,7,True,0,0,0,0,0,0,0,0,0,0,0,0,0,11043,93,44,24,True
501036,KR_7322946207,917644,734115,10,True,0,0,0,0,0,0,0,0,4,0,0,0,0,23293,307,82,42,True,4,False,1,0,0,0,1,0,0,0,0,0,0,0,0,21042,334,77,41,False
501037,KR_7322915089,1323427,1058741,16,True,1,0,0,0,1,0,0,0,6,0,0,1,0,35988,457,111,54,True,10,False,1,0,0,0,0,0,1,0,0,0,0,0,0,29635,417,79,50,False
501038,KR_7322765370,1577829,1262263,23,True,1,0,1,0,0,0,0,0,5,0,0,4,0,44967,534,139,60,False,25,False,2,1,0,0,0,1,0,0,1,1,0,5,0,48126,551,128,64,True
501039,KR_7322740288,1790931,1432744,30,False,1,0,0,0,1,0,0,0,6,1,0,6,0,50645,606,155,65,False,20,True,2,1,0,1,0,0,0,0,0,0,1,3,0,49030,622,109,67,True
501040,KR_7322715802,1459415,1167532,17,False,1,0,0,0,0,0,1,0,3,1,0,2,0,38678,479,118,56,True,18,True,1,0,0,1,0,0,0,0,3,0,0,3,0,38370,478,118,53,False
501041,KR_7321710500,1657011,1325608,22,True,2,0,1,0,1,0,0,0,0,1,0,4,0,47095,508,165,65,True,13,False,0,0,0,0,0,0,0,0,6,0,0,4,0,42910,541,116,58,False
501042,KR_7321541099,2058620,1646896,30,True,2,0,0,1,0,1,0,0,1,0,0,4,0,55223,653,123,68,False,24,False,1,0,1,0,0,0,0,0,5,1,1,6,0,58501,698,197,72,True
501043,KR_7321494622,1804660,1443728,34,False,2,0,0,0,1,0,1,0,5,1,1,4,0,56361,579,178,70,True,22,True,1,0,1,0,0,0,0,0,1,0,0,2,0,47513,590,134,63,False
501044,KR_7321480147,915030,732024,1,True,0,0,0,0,0,0,0,0,3,0,0,0,0,20195,351,94,41,False,6,False,1,0,0,1,0,0,0,0,3,0,0,0,0,22689,359,98,44,True
501045,KR_7321442938,1448081,1158464,14,True,2,0,1,1,0,0,0,0,2,0,0,3,0,36550,519,123,55,True,6,False,0,0,0,0,0,0,0,0,4,1,0,2,0,33122,446,135,54,False
501046,KR_7321417606,1987631,1590104,17,False,2,1,1,0,0,0,0,0,3,1,0,4,0,51098,632,159,68,True,38,True,2,0,0,0,0,2,0,0,3,0,1,8,2,59454,613,219,73,False
501047,KR_7321386442,1238626,990900,10,True,0,0,0,0,0,0,0,0,1,1,0,1,0,28959,406,84,48,False,13,False,1,0,0,0,0,1,0,0,5,0,0,1,0,33746,448,127,50,True
501048,KR_7321366692,1533752,1227001,24,False,1,0,0,0,1,0,0,0,2,1,0,5,0,43700,493,131,59,True,18,True,2,1,0,0,0,0,1,0,4,0,0,2,0,38502,504,116,58,False
501049,KR_7321362175,941186,752948,0,False,1,1,0,0,0,0,0,0,0,0,0,0,0,17736,290,91,39,False,14,True,1,0,0,1,0,0,0,0,6,0,0,1,0,26305,320,94,44,True
