,matchID,fullTimeMS,timeStamp,blueChampionKill,blueFirstBlood,blueDragonKill,blueDragonHextechKill,blueDragonChemtechKill,blueDragonFireKill,blueDragonAirKill,blueDragonEarthKill,blueDragonWaterKill,blueDragonElderKill,blueVoidGrubKill,blueRiftHeraldKill,blueBaronKill,blueTowerKill,blueInhibitorKill,blueTotalGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgPlayerLevel,blueWin,redChampionKill,redFirstBlood,redDragonKill,redDragonHextechKill,redDragonChemtechKill,redDragonFireKill,redDragonAirKill,redDragonEarthKill,redDragonWaterKill,redDragonElderKill,redVoidGrubKill,redRiftHeraldKill,redBaronKill,redTowerKill,redInhibitorKill,redTotalGold,redMinionsKilled,redJungleMinionsKilled,redAvgPlayerLevel,redWin
1502037,VN2_608143313,1828330,1200000,14,False,0,0,0,0,0,0,0,0,0,0,0,2,0,37435,494,122,57,False,23,True,3,0,1,1,0,1,0,0,5,1,0,3,0,40967,532,138,59,True
1502038,VN2_608046817,1691117,1200000,14,False,3,0,0,1,1,0,1,0,3,0,0,2,0,38100,503,154,57,True,9,True,0,0,0,0,0,0,0,0,3,1,0,2,0,34933,529,140,56,False
1502039,VN2_608022647,1834011,1200000,17,True,2,0,1,1,0,0,0,0,4,0,0,1,0,36904,450,122,56,False,18,False,1,1,0,0,0,0,0,0,2,1,0,3,0,39031,473,150,59,True
1502040,VN2_607937973,1936966,1200000,18,True,2,0,1,0,0,0,1,0,4,0,0,2,0,36492,463,117,53,False,17,False,1,0,0,1,0,0,0,0,2,1,0,3,0,36663,474,99,53,True
1502041,VN2_607203824,1809590,1200000,15,False,1,0,1,0,0,0,0,0,0,1,0,1,0,37558,514,143,56,False,26,True,2,1,0,1,0,0,0,0,6,0,0,3,0,43194,486,132,59,True
1502042,VN2_607175507,1931962,1200000,26,True,2,1,0,1,0,0,0,0,4,1,0,4,0,39982,440,124,59,True,12,False,0,0,0,0,0,0,0,0,2,0,0,1,0,32741,438,118,56,False
1502043,VN2_606109552,1806853,1200000,23,False,0,0,0,0,0,0,0,0,3,1,0,2,0,41552,528,132,58,False,19,True,2,0,0,1,1,0,0,0,3,0,0,4,0,39897,526,126,58,True
1502044,VN2_606051256,2344586,1200000,19,False,2,0,1,0,0,1,0,0,0,0,0,2,0,38325,463,125,55,True,20,True,1,1,0,0,0,0,0,0,6,1,0,3,0,39008,434,132,53,False
1502045,VN2_605834300,1634838,1200000,20,True,2,1,0,0,0,0,1,0,0,0,0,2,0,38361,458,111,56,True,22,False,0,0,0,0,0,0,0,0,3,1,0,3,0,40166,470,138,57,False
1502046,VN2_614571579,1742337,1200000,19,True,1,0,0,1,0,0,0,0,6,1,0,2,0,39910,504,120,56,True,21,False,1,0,0,0,1,0,0,0,0,0,0,2,0,39300,521,95,58,False
1502047,VN2_614233320,2125267,1200000,14,True,1,1,0,0,0,0,0,0,2,0,0,1,0,35329,481,132,58,True,16,False,2,0,0,1,1,0,0,0,4,1,0,2,0,39614,552,136,57,False
1502048,VN2_614191968,1979361,1200000,22,False,0,0,0,0,0,0,0,0,3,1,0,0,0,37948,420,118,55,False,27,True,2,0,0,1,1,0,0,0,3,0,0,3,0,41766,454,144,58,True
1502049,VN2_614104008,1636386,1200000,14,False,0,0,0,0,0,0,0,0,3,0,0,1,0,33990,441,114,55,False,19,True,2,0,0,1,1,0,0,0,3,1,0,5,0,40584,511,130,59,True
1502050,VN2_614051273,1840174,1200000,20,False,1,0,1,0,0,0,0,0,3,1,0,4,0,40992,541,117,56,False,15,True,1,0,0,1,0,0,0,0,3,0,0,1,0,36091,468,128,56,True
1502051,VN2_614028328,1828006,1200000,22,True,2,1,0,0,0,0,1,0,4,1,0,5,0,43557,561,134,59,True,9,False,0,0,0,0,0,0,0,0,0,0,0,0,0,32188,503,105,56,False
1502052,VN2_613319982,1714507,1200000,23,False,2,0,1,1,0,0,0,0,4,1,0,5,0,41950,486,124,57,True,12,True,1,0,0,0,0,1,0,0,2,0,0,2,0,35245,476,134,55,False
1502053,VN2_613288865,1644349,1200000,14,False,0,0,0,0,0,0,0,0,3,0,0,0,0,34395,436,101,53,False,21,True,2,0,1,0,1,0,0,0,3,1,0,3,0,40305,500,123,56,True
1502054,VN2_612543440,1801609,1200000,21,True,0,0,0,0,0,0,0,0,3,1,0,3,0,40648,464,123,58,False,23,False,3,1,0,1,1,0,0,0,3,0,0,3,0,40742,453,143,59,True
1502055,VN2_612484484,1805151,1200000,17,True,2,0,0,0,1,0,1,0,4,1,0,4,0,38801,466,122,55,True,17,False,1,0,1,0,0,0,0,0,2,0,0,0,0,36342,430,140,54,False
1502056,VN2_612324649,1817323,1200000,20,True,0,0,0,0,0,0,0,0,6,0,0,2,0,40110,502,149,58,True,16,False,3,1,1,0,1,0,0,0,0,1,0,1,0,36728,516,122,56,False
1502057,VN2_612286770,2409066,1200000,16,True,1,1,0,0,0,0,0,0,3,1,0,2,0,37359,475,124,55,True,20,False,2,0,0,1,0,0,1,0,3,0,0,3,0,39436,477,112,56,False
1502058,VN2_612154581,1832168,1200000,17,False,1,1,0,0,0,0,0,0,1,1,0,5,0,39991,480,114,55,False,17,True,2,0,1,1,0,0,0,0,5,0,0,3,0,39601,501,135,56,True
1502059,VN2_612039231,1751766,1200000,15,True,1,0,0,0,1,0,0,0,6,1,0,4,0,39883,517,161,57,True,20,False,1,0,0,1,0,0,0,0,0,0,0,1,0,37389,495,110,57,False
1502060,VN2_612019804,1792014,1200000,15,False,2,0,1,1,0,0,0,0,0,0,0,3,0,38559,534,126,57,True,15,True,1,0,0,0,1,0,0,0,6,1,0,2,0,38377,489,164,58,False
1502061,VN2_609111403,1620679,1200000,57,False,0,0,0,0,0,0,0,0,0,0,0,1,0,71169,253,0,90,False,61,True,0,0,0,0,0,0,0,0,0,0,0,3,1,75162,266,0,90,True
1502062,VN2_609034290,1954006,1200000,15,True,2,0,1,0,1,0,0,0,0,0,0,2,0,37214,541,119,56,True,24,False,1,0,0,1,0,0,0,0,6,1,0,4,0,40222,449,158,59,False
1502063,VN2_607038540,1978466,1200000,21,False,0,0,0,0,0,0,0,0,1,1,0,3,0,39664,489,99,56,False,17,True,2,1,0,0,0,0,1,0,4,0,0,2,0,37592,489,129,57,True
1502064,VN2_606810006,1853394,1200000,19,True,1,0,1,0,0,0,0,0,4,1,0,4,0,40620,494,104,55,True,16,False,2,0,0,1,0,1,0,0,2,0,0,2,0,36719,485,121,53,False
1502065,VN2_606762568,1809565,1200000,18,True,0,0,0,0,0,0,0,0,3,0,0,1,0,38262,471,113,57,True,17,False,2,1,0,0,1,0,0,0,3,1,0,3,0,40046,512,150,56,False
1502066,VN2_606214923,1779169,1200000,23,True,2,0,0,1,1,0,0,0,6,0,0,2,0,42047,528,124,59,True,23,False,1,0,1,0,0,0,0,0,0,0,0,1,0,40779,510,128,60,False
1502067,VN2_606142061,1670112,1200000,16,False,1,0,0,0,1,0,0,0,5,1,0,4,0,41956,551,150,58,True,12,True,2,0,0,0,0,1,1,0,1,0,0,1,0,34703,520,124,57,False
1502068,VN2_606073252,1952710,1200000,16,False,1,1,0,0,0,0,0,0,3,1,0,4,0,39974,500,158,57,False,24,True,2,0,1,1,0,0,0,0,3,0,0,2,0,39754,475,106,57,True
1502069,VN2_605944156,2397763,1200000,15,False,2,1,0,0,1,0,0,0,5,0,0,2,0,34749,468,120,56,False,15,True,1,0,1,0,0,0,0,0,1,1,0,2,0,36068,435,147,56,True
1502070,VN2_605886413,2341485,1200000,13,False,0,0,0,0,0,0,0,0,4,0,0,2,0,37119,524,130,58,False,12,True,3,1,1,0,0,1,0,0,2,1,0,3,0,36513,510,127,55,True
1502071,VN2_605808576,1724789,1200000,21,False,1,1,0,0,0,0,0,0,4,1,0,1,0,38278,465,115,55,True,20,True,1,0,0,1,0,0,0,0,2,0,0,4,0,40924,544,113,57,False
1502072,VN2_605756212,1909866,1200000,21,True,0,0,0,0,0,0,0,0,2,1,0,3,0,40366,512,104,58,True,16,False,2,1,0,1,0,0,0,0,4,0,0,1,0,37960,484,104,57,False
1502073,VN2_605723254,2112473,1200000,22,True,1,1,0,0,0,0,0,0,6,0,0,3,0,39779,443,148,56,True,20,False,2,0,0,1,1,0,0,0,0,1,0,2,0,37623,462,140,56,False
1502074,VN2_605571586,1994389,1200000,21,True,1,0,0,1,0,0,0,0,5,1,0,6,0,42528,556,106,58,True,10,False,1,0,0,0,0,0,1,0,1,0,0,0,0,31108,450,111,54,False
1502075,VN2_605549744,1755447,1200000,22,False,1,0,0,0,0,1,0,0,5,1,0,3,0,39504,434,152,58,False,24,True,2,0,0,1,1,0,0,0,1,0,0,4,0,41428,529,85,59,True
1502076,VN2_605541760,1892893,1200000,22,True,0,0,0,0,0,0,0,0,2,1,0,2,0,41052,510,131,59,False,19,False,2,0,1,0,0,0,1,0,4,0,0,2,0,37610,445,103,59,True
1502077,VN2_605522992,1668876,1200000,27,True,2,0,0,1,1,0,0,0,3,1,0,3,0,43348,504,118,57,True,21,False,0,0,0,0,0,0,0,0,3,0,0,0,0,36458,406,104,55,False
1502078,VN2_605500850,1692698,1200000,23,False,2,1,1,0,0,0,0,0,2,0,0,4,0,40327,415,119,55,True,25,True,0,0,0,0,0,0,0,0,4,1,0,2,0,40917,483,102,56,False
